,name,calories,serving_size_g,fat_total_g,fat_saturated_g,protein_g,sodium_mg,potassium_mg,cholesterol_mg,carbohydrates_total_g,fiber_g,sugar_g,health_classification
48,cucumber,15.3,100.0,0.1,0.0,0.6,1,24,0,3.7,0.5,1.7,Healthy
49,quinoa,120.1,100.0,1.9,0.2,4.4,6,152,0,21.3,2.8,0.9,Not Healthy
50,watermelon,30.0,100.0,0.2,0.1,0.6,2,112,0,7.6,0.4,6.2,Healthy
51,pineapple,50.0,100.0,0.1,0.0,0.5,1,109,0,13.1,1.4,9.9,Healthy
52,mango,60.0,100.0,0.4,0.1,0.8,1,156,0,14.6,1.6,13.7,Healthy
53,papaya,43.0,100.0,0.4,0.1,0.5,8,182,0,10.9,1.7,7.8,Healthy
54,kiwi,41.0,100.0,0.5,0.1,1.1,3,312,0,9.6,3.8,6.2,Healthy
55,cauliflower,25.0,100.0,0.3,0.0,1.9,30,299,0,5.3,2.0,1.9,Healthy
56,asparagus,20.0,100.0,0.2,0.0,2.0,2,202,0,3.7,2.0,1.9,Healthy
57,bell peppers,31.0,100.0,0.3,0.1,1.0,3,211,0,6.0,2.0,4.2,Healthy
58,zucchini,17.0,100.0,0.3,0.0,1.2,8,257,0,3.1,1.0,2.5,Healthy
59,quinoa,120.1,100.0,1.9,0.2,4.4,6,152,0,21.3,2.8,0.9,Not Healthy
0,french fries,312.5,100.0,14.4,2.3,3.4,209,123,0,42.1,3.8,0.3,Not Healthy
1,pizza,262.9,100.0,9.8,4.5,11.4,587,217,16,32.9,2.3,3.6,Not Healthy
2,ice cream,207.1,100.0,11.0,6.8,3.5,78,103,44,23.6,0.7,21.3,Not Healthy
3,soda,41.9,100.0,0.2,0.0,0.0,2,8,0,10.2,0.0,10.0,Healthy
4,candy bars,486.2,100.0,23.5,9.1,7.6,242,189,12,60.6,2.3,50.0,Not Healthy
5,cheeseburgers,269.4,100.0,14.4,7.0,15.4,588,180,47,19.6,1.2,3.6,Healthy
6,fried chicken,261.5,100.0,14.6,4.1,28.7,85,187,90,3.1,0.1,0.0,Healthy
7,hot dogs,321.4,100.0,29.9,11.5,11.8,864,137,58,2.6,0.0,1.3,Healthy
8,potato chips,541.0,100.0,33.9,3.4,6.4,526,153,0,54.1,3.2,0.3,Not Healthy
9,donuts,420.2,100.0,23.0,9.4,6.1,312,116,30,48.8,2.1,22.5,Not Healthy
10,cookies,489.2,100.0,24.6,8.1,5.1,311,107,0,65.0,2.0,32.7,Not Healthy
11,chocolate cake,391.8,100.0,19.9,5.9,3.5,348,135,22,52.5,2.2,39.6,Not Healthy
12,cereals,369.6,100.0,6.7,1.5,12.2,487,473,0,72.5,9.4,4.4,Not Healthy
13,fried mozzarella,330.0,100.0,18.0,6.8,14.6,875,318,35,24.6,2.0,2.4,Not Healthy
14,nachos,225.2,100.0,17.3,7.1,12.2,315,168,52,4.8,0.7,1.8,Healthy
15,fried onion,357.5,100.0,19.1,3.4,4.9,699,92,0,40.9,2.6,4.7,Not Healthy
16,milkshakes,122.1,100.0,2.7,1.7,3.1,110,126,11,21.4,0.3,21.0,Not Healthy
17,twinkies,371.2,100.0,11.6,4.1,3.5,479,187,40,65.2,1.0,37.4,Not Healthy
18,bacon,466.4,100.0,34.9,12.0,34.0,1674,380,98,1.7,0.0,0.0,Healthy
19,macaroni and cheese,185.2,100.0,8.3,1.8,4.9,340,112,3,24.1,1.2,4.3,Not Healthy
20,calamari,194.2,100.0,13.4,1.2,10.8,481,151,150,8.3,0.8,0.4,Healthy
21,soft drinks,41.1,100.0,0.3,0.0,0.0,3,9,0,10.2,0.0,9.9,Healthy
22,burgers,242.7,100.0,11.8,4.6,15.1,354,141,53,17.7,0.0,0.0,Healthy
23,popcorn with butter,536.5,100.0,30.4,14.6,8.3,754,274,0,56.5,10.1,0.3,Not Healthy
24,pop tarts,375.0,100.0,9.0,3.1,4.0,308,71,0,73.1,1.8,31.0,Not Healthy
25,chocolate bars,544.5,100.0,29.3,18.7,7.6,77,210,22,58.9,3.4,51.4,Not Healthy
26,cheese puffs,549.2,100.0,35.7,5.5,5.8,884,110,3,53.6,2.2,2.7,Not Healthy
27,energy drinks,43.4,100.0,0.0,0.0,0.5,39,0,0,10.4,0.0,10.1,Healthy
28,frozen pizza,261.6,100.0,12.1,4.3,10.3,443,180,14,29.4,2.2,3.6,Not Healthy
29,soup,24.6,100.0,1.0,0.3,1.3,343,16,4,2.9,0.2,0.3,Healthy
30,jalapeno poppers,229.6,100.0,21.1,12.1,4.0,232,76,69,4.9,1.0,3.6,Healthy
31,fried fish,227.4,100.0,13.5,3.3,18.2,275,213,71,8.1,0.7,0.0,Healthy
32,brownies,460.4,100.0,29.6,7.4,6.2,338,132,71,50.2,0.0,0.0,Not Healthy
33,margarine,700.5,100.0,80.7,15.4,0.1,1,4,0,0.7,0.0,0.0,Healthy
34,white bread,258.5,100.0,3.3,0.7,8.9,494,97,0,49.3,2.7,5.6,Not Healthy
35,instant noodles,69.3,100.0,2.6,1.2,1.7,287,17,0,9.1,0.5,0.2,Healthy
36,yogurt,64.2,100.0,1.6,1.0,5.3,69,145,5,7.2,0.0,7.1,Healthy
37,maraschino cherries,163.6,100.0,0.2,0.0,0.2,4,2,0,41.6,3.2,38.6,Not Healthy
38,doritos,506.2,100.0,26.9,3.9,7.3,697,249,0,61.4,5.2,2.6,Not Healthy
39,nesquik,404.3,100.0,2.3,2.3,4.6,137,86,0,91.0,4.4,81.7,Not Healthy
40,chocolate milk,81.7,100.0,3.4,2.1,3.2,60,102,11,10.5,0.8,9.5,Healthy
41,cheese,393.9,100.0,33.0,18.9,22.7,661,459,100,3.2,0.0,0.5,Healthy
42,pancakes,227.0,100.0,9.4,3.4,6.1,466,93,38,33.8,1.1,6.4,Not Healthy
43,fried eggs,196.0,100.0,14.5,4.8,13.3,364,138,423,0.7,0.0,0.6,Healthy
44,mashed potatoes,83.0,100.0,3.6,2.2,1.8,407,429,6,12.2,1.5,0.8,Healthy
45,sweet potatoes,86.0,100.0,0.1,0.0,1.6,55,337,0,20.1,3.0,4.2,Not Healthy
46,corn,96.0,100.0,1.2,0.2,3.4,27,270,0,21.3,2.4,3.4,Not Healthy
47,butternut squash,45.0,100.0,0.1,0.0,1.0,3,352,0,11.7,2.0,2.2,Healthy
48,acorn squash,40.0,100.0,0.1,0.0,1.0,4,347,0,10.4,1.5,0.4,Healthy
49,pumpkin,26.0,100.0,0.1,0.0,1.0,1,340,0,6.5,0.5,2.8,Healthy
50,plantains,122.0,100.0,0.4,0.1,1.3,4,499,0,31.9,2.3,15.4,Not Healthy
51,yuca,131.0,100.0,0.3,0.0,1.4,9,271,0,33.8,1.8,0.9,Not Healthy
52,parsnips,75.0,100.0,0.5,0.1,1.2,10,375,0,17.0,4.9,3.8,Healthy
53,beets,43.0,100.0,0.1,0.0,1.6,64,325,0,9.6,2.8,6.8,Healthy
54,carrots,41.0,100.0,0.2,0.0,0.9,69,320,0,9.6,2.8,4.7,Healthy
55,turnips,28.0,100.0,0.1,0.0,1.0,67,233,0,6.4,1.8,3.8,Healthy
56,cassava,160.0,100.0,0.3,0.1,1.4,14,271,0,38.1,1.8,3.4,Not Healthy
57,rutabaga,35.0,100.0,0.1,0.0,1.2,12,305,0,8.2,2.3,4.5,Healthy
58,Jerusalem artichoke,73.0,100.0,0.1,0.0,2.0,4,429,0,17.5,1.6,3.4,Healthy
59,taro,112.0,100.0,0.2,0.1,1.5,11,456,0,26.5,4.1,0.5,Not Healthy
